Sıra,Ürün Adı,Toplam Ürün Kutu Sayısı,Toplam Ürün İçerik Sayısı,Detay,yer,SheetName
7,LARGACTIL 25 MG ENJEKSIYONLUK/INFUZYONLUK COZELTI ICEREN AMPUL (10 AMPUL),1,2,SKT-2027-01:1 kutu,NARKOTİK İLAÇ ÇEKMECESİ,N.ÇEKMECESİ
8,ATROPIN GALEN 1 MG 10 AMPUL,2,11,SKT-2026-09:2 kutu,NARKOTİK İLAÇ ÇEKMECESİ,N.ÇEKMECESİ
9,"ATROPIN GALEN 0,5 MG 10 AMPUL",1,1,SKT-2026-09:1 kutu,NARKOTİK İLAÇ ÇEKMECESİ,N.ÇEKMECESİ
10,NORODOL 5 MG 5 AMPUL,1,2,SKT-2026-08:1 kutu,NARKOTİK İLAÇ ÇEKMECESİ,N.ÇEKMECESİ
11,AKINETON 5 MG/ML ENJEKSIYON ICIN SOLUSYON ICEREN 1 ML X 5 AMPUL,1,4,SKT-2027-11:1 kutu,NARKOTİK İLAÇ ÇEKMECESİ,N.ÇEKMECESİ
12,DRAMAMINE 50 MG 12 TABLET,1,8,SKT-2026-02:1 kutu,NARKOTİK İLAÇ ÇEKMECESİ,N.ÇEKMECESİ
13,CONTRAMAL 100 MG/2ML AMP,1,2,SKT-2025-05:1 kutu,NARKOTİK İLAÇ ÇEKMECESİ,N.ÇEKMECESİ
14,MORFİN 0.01MG/1ML AMP.,1,2,SKT-2025-06:1 kutu,NARKOTİK İLAÇ ÇEKMECESİ,N.ÇEKMECESİ
15,DİAZEM 10MG/2ML AMP.,1,2,SKT-2026-05:1 kutu,NARKOTİK İLAÇ ÇEKMECESİ,N.ÇEKMECESİ
1,Tahta Dil Basacağı,1,100,SKT-3000-12:1 kutu,desk üzeri,desk Üstü
2,Batiderm %10 Povidon İyot 1000 ml.,1,1,SKT-2025-03:1 kutu,,desk Üstü
3,Etil Alkol 70' Base Cologne 1000 ml.,1,1,SKT-2029-01:1 kutu,,desk Üstü
4,El Dezenfektanı Dermosept Handplus 1000 ml.,1,1,SKT-3000-12:1 kutu,,desk Üstü
5,Oksijenli Su Dermosept 1000 ml.,1,1,SKT-2025-05:1 kutu,,desk Üstü
6,Zephirafix Fort Çözelti 1000 ml.,1,1,SKT-3000-12:1 kutu,,desk Üstü
7,Alkollü Mendil,1,100,SKT-2029-07:1 kutu,,desk Üstü
8,Atropin,0,0,yok,,desk Üstü
9,Novalgin,9,1,2025-05-01 00:00:00,,desk Üstü
10,Avil,4,1,2025-08-01 00:00:00,,desk Üstü
11,Türktıpsan Feniramin,6,1,2025-08-01 00:00:00,,desk Üstü
12,Dekort,3,1,2026-02-01 00:00:00,,desk Üstü
13,Metpamid,3,1,2027-12-01 00:00:00,,desk Üstü
14,Bemiks,0,0,yok,,desk Üstü
15,Redoxan,0,0,yok,,desk Üstü
16,Dicloron,7,1,2025-10-01 00:00:00,,desk Üstü
17,Muscoflex,1,1,2028-04-01 00:00:00,,desk Üstü
18,Lasix,3,1,2025-03-01 00:00:00,,desk Üstü
19,Buscopan,9,1,2025-07-01 00:00:00,,desk Üstü
20,Portatif Defibrilatör Cihaz Primedic Defi Monitor,1,1,yok,,desk Üstü
21,Defibrilatör (elektroşok) Cardiolife Actibiphasic Nihon Kohden,1,1,yok,,desk Üstü
22,EKG Cihazı Mindray BeneHeart R12,1,1,yok,,desk Üstü
23,Büyük Oksijen Tüpü,1,1,yok,,desk Üstü
24,Küçük ksijen Tüpü,1,1,yok,,desk Üstü
25,Portatif Oksijen Tüpü,1,1,yok,,desk Üstü
1,spançlar,1,1,yok,1. çekmece,desk çekmeceler
2,makas,1,1,yok,1. çekmece,desk çekmeceler
3,oksijen maskeleri,1,1,yok,2. çekmece,desk çekmeceler
4,laringoskop seti,1,1,yok,2. çekmece,desk çekmeceler
5,laringoskop seti,1,1,yok,3. çekmece,desk çekmeceler
6,damaryolu malzemeleri,1,1,yok,3. çekmece,desk çekmeceler
7,ateş ölçer,1,1,yok,3. çekmece,desk çekmeceler
8,ekg elektrodu,1,1,yok,3. çekmece,desk çekmeceler
1,Enjektör 10 ml.,1,100,SKT-2027-12:1 kutu,desk 1. dolap,desk dolaplar
2,Steril Emici Spanç Kompres b-good 4 kat 20*5,4,80,SKT-2027-10:4 kutu,desk 1. dolap,desk dolaplar
3,Steril Pamuklu Ped 12cm*24cm,4,4,SKT-2024-09:4 kutu,desk 1. dolap,desk dolaplar
4,Steril Pamuklu Ped 10cm*10cm tekli paket,100,100,SKT-2026-06:100 kutu,desk 1. dolap,desk dolaplar
5,Elastik Bandaj Hypoallergenic ArtıMed 15*150cm,2,2,SKT-3000-12:2 kutu,desk 1. dolap,desk dolaplar
6,Elastik Bandaj Hypoallergenic ArtıMed 20*150cm,3,3,SKT-3000-12:3 kutu,desk 1. dolap,desk dolaplar
7,Elastik Bandaj Hypoallergenic ArtıMed 10*150cm,2,2,SKT-3000-12:2 kutu,desk 1. dolap,desk dolaplar
8,Elastik Bandaj Hypoallergenic ArtıMed 6*150cm,4,4,SKT-3000-12:4 kutu,desk 1. dolap,desk dolaplar
9,Hidrofil Sargı Bezi 15cm*10m,6,6,SKT-2019-01:6 kutu,desk 1. dolap,desk dolaplar
10,Tulum,4,1,yok,desk 1. dolap,desk dolaplar
11,şişme atel,1,1,yok,desk 2. açık dolap,desk dolaplar
12,tıbbi atık kutusu,4,1,yok,desk 2. açık dolap,desk dolaplar
13,doğum seti,1,1,yok,desk 2. açık dolap,desk dolaplar
14,cenaze torbası,1,1,yok,desk 2. açık dolap,desk dolaplar
15,Tulum tek kullanımlık,2,1,yok,desk 2. açık dolap,desk dolaplar
16,Steril spanç gaz kompres hidrofil,50,1,2026-05-01 00:00:00,desk 3. dolap açık,desk dolaplar
17,Plusmed ecg cihazı,1,1,yok,desk 3. dolap açık,desk dolaplar
18,batarya,2,1,yok,desk 3. dolap açık,desk dolaplar
19,AED plus zoll,1,1,yok,desk 3. dolap açık,desk dolaplar
20,pamuk,1,1,yok,desk 3. dolap açık,desk dolaplar
21,aspiratör devillbiss,1,1,yok,desk 3. dolap açık,desk dolaplar
1,%5 Dekstroz 250 ml.,2,2,SKT-2026-01:2 kutu,1. dolap 1. raf,1d1r
2,%5 Dekstroz 500 ml.,10,10,"SKT-2027-06:1 kutu, SKT-2026-02:9 kutu",1. dolap 1. raf,1d1r
1,%0.9 izotonik sodyum klorür 500 ml.,5,5,"SKT-2026-12:4 kutu, SKT-2027-07:1 kutu",1. Dolap 2. Raf,1d2r
2,%0.9 izotonik sodyum klorür 250 ml.,6,6,SKT-2026-10:6 kutu,1. Dolap 2. Raf,1d2r
1,İzoleks - P %5 Dekstroz 500 ml.,2,2,SKT-2025-08:2 kutu,1. dolap 3. raf,1d3r
2,İZOLEN DENGELİ 500 ML.,6,6,SKT-2025-12:6 kutu,1. dolap 3. raf,1d3r
3,LAKTATLI RİNGER 500 ML.,7,7,SKT-2025-06:7 kutu,1. dolap 3. raf,1d3r
1,ENDOTRAKEAL TÜP KAFLI 6 MM.,2,2,SKT-2026-11:2 kutu,1. dolap 4. raf,1d4r
2,ENDOTRAKEAL TÜP KAFLI 7 MM.,2,2,SKT-2029-04:2 kutu,1. dolap 4. raf,1d4r
3,ENDOTRAKEAL TÜP KAFLI 8 MM.,2,2,SKT-2028-01:2 kutu,1. dolap 4. raf,1d4r
4,ENDOTRAKEAL TÜP KAFLI 4 MM.,2,2,SKT-2028-12:2 kutu,1. dolap 4. raf,1d4r
5,İNFÜZYON SETİ,20,20,"SKT-2026-01:10 kutu, SKT-2026-05:5 kutu, SKT-2028-05:5 kutu",1. dolap 4. raf,1d4r
6,AKTİF KARBON TOZ 100 GR,1,1,SKT-2040-05:1 kutu,1. dolap 4. raf,1d4r
7,TIBBİ ATIK POŞETİ BÜYÜK BOY,2,1,yok,1. dolap 4. raf,1d4r
8,YANIK SETİ,1,1,yok,1. dolap 4. raf,1d4r
1,ENJEKTÖR 10 ML.,200,200,SKT-2028-06:200 kutu,1. dolap 5. raf,1d5r
2,Palintest SU WATER TEST REAGENTS,1,100,SKT-2029-03:1 kutu,1. dolap 5. raf,1d5r
3,ULTRASOUND GEJ JEL 1000 ML.,1,1,SKT-2019-02:1 kutu,1. dolap 5. raf,1d5r
1,NOOTROPIL 1 GR 12 AMPUL,1,12,SKT-2027-09:1 kutu,2. Dolap 1. Raf,2d1r
2,PREDNOL-L 250 MG 1 AMPUL,2,2,"SKT-2026-10:1 kutu, SKT-2027-07:1 kutu",2. Dolap 1. Raf,2d1r
3,PREDNOL-L 40 MG 1 AMPUL,6,6,"SKT-2027-11:1 kutu, SKT-2027-03:3 kutu, SKT-2028-01:2 kutu",2. Dolap 1. Raf,2d1r
4,METPAMID 10 MG 5 AMPUL,2,2,SKT-2028-11:2 kutu,2. Dolap 1. Raf,2d1r
5,BUSCOPAN 20 MG/ML ENJEKSIYONLUK COZELTI (6 AMPUL),3,18,"SKT-2026-12:1 kutu, SKT-2025-07:1 kutu, SKT-2025-10:1 kutu",2. Dolap 1. Raf,2d1r
6,CORTIPOL 250 MG I.M./I.V. ENJEKSIYONLUK COZELTI HAZIRLAMAK ICIN TOZ VE COZUCU (1 AMPUL + 1 ENJEKSIYONLUK SU ICEREN AMPUL),1,1,SKT-2025-07:1 kutu,2. Dolap 1. Raf,2d1r
7,"TURKTIPSAN FENIRAMIN MALEAT 45,5 MG/2 ML IM/IV ENJEKSIYONLUK COZELTI (5 AMPUL)",3,15,"SKT-2025-08:1 kutu, SKT-2026-02:1 kutu, SKT-2025-07:1 kutu",2. Dolap 1. Raf,2d1r
8,DEKORT 2 ML 8 MG 1 AMPUL,8,8,"SKT-2026-02:1 kutu, SKT-2027-05:3 kutu, SKT-2026-01:2 kutu, SKT-2028-05:1 kutu, SKT-2026-12:1 kutu",2. Dolap 1. Raf,2d1r
9,MUSCORIL 4 MG 2 ML 6 AMPUL,1,6,SKT-2026-05:1 kutu,2. Dolap 1. Raf,2d1r
10,DICLOMEC 3 ML 75 MG 10 AMPUL,2,20,"SKT-2027-01:1 kutu, SKT-2025-10:1 kutu",2. Dolap 1. Raf,2d1r
11,NOVALGIN 2 ML 10 AMPUL,3,30,"SKT-2025-05:2 kutu, SKT-2025-04:1 kutu",2. Dolap 1. Raf,2d1r
12,MAGNEZYUM SULFAT %15 10 ML,1,10,SKT-2027-10:1 kutu,2. Dolap 1. Raf,2d1r
13,OKSAMEN-L 20 MG 1 FLAKON,4,4,"SKT-2026-05:1 kutu, SKT-2026-06:3 kutu",2. Dolap 1. Raf,2d1r
14,LASIX 20 MG/2 ML 5 AMPUL,3,15,SKT-2025-03:3 kutu,2. Dolap 1. Raf,2d1r
15,DOPADREN 200 MG/5 ML ENJEKSIYONLUK SOLUSYON ICEREN 5 AMPUL,1,5,SKT-2024-12:1 kutu,2. Dolap 1. Raf,2d1r
16,DILTIZEM 25 MG 1 FLAKON,2,2,SKT-2025-04:2 kutu,2. Dolap 1. Raf,2d1r
17,FUROMID 20 MG 5 AMPUL,1,5,SKT-2027-05:1 kutu,2. Dolap 1. Raf,2d1r
18,"DIGOXIN - ASSOS 0,5 MG /2 ML IV ENJEKSIYONLUK COZELTI 5 AMPUL",1,5,SKT-2028-02:1 kutu,2. Dolap 1. Raf,2d1r
1,KATARIN 250 MG/100 MG/2 MG 30 KAPSUL,1,30,SKT-2025-11:1 kutu,2. dolap 2. raf,2d2r
2,DIKLORON 25 MG 30 FILM TABLET,1,30,SKT-2027-09:1 kutu,2. dolap 2. raf,2d2r
3,PAROL 500 MG 30 TABLET,2,60,"SKT-2026-12:1 kutu, SKT-2028-10:1 kutu",2. dolap 2. raf,2d2r
4,APRANAX FORTE 550 MG 10 FILM KAPLI TABLET,1,10,SKT-2028-12:1 kutu,2. dolap 2. raf,2d2r
5,LODINE 300 MG 10 FILM TABLET,2,20,SKT-2026-05:2 kutu,2. dolap 2. raf,2d2r
6,ARVELES 25 MG 20 FILM TABLET,1,20,SKT-2026-02:1 kutu,2. dolap 2. raf,2d2r
7,REFLOR 250 MG LIYOFILIZE TOZ ICEREN 10 SASE,1,10,SKT-2027-01:1 kutu,2. dolap 2. raf,2d2r
8,buscopan 10 mg 20 tb,2,40,SKT-2024-10:2 kutu,2. dolap 2. raf,2d2r
9,METPAMID 10 MG 30 TABLET,2,60,"SKT-2026-08:1 kutu, SKT-2026-10:1 kutu",2. dolap 2. raf,2d2r
10,ALLERSET 10 MG FILM KAPLI TABLET (20 FILM KAPLI TABLET),1,20,SKT-2025-11:1 kutu,2. dolap 2. raf,2d2r
11,"AVIL 22,7 MG TABLET",1,20,SKT-2025-12:1 kutu,2. dolap 2. raf,2d2r
12,MUSCORIL 4 MG 20 KAPSUL,1,20,SKT-2026-03:1 kutu,2. dolap 2. raf,2d2r
13,CORDARONE BT 200 MG 30 TABLET,2,60,SKT-2025-03:2 kutu,2. dolap 2. raf,2d2r
14,"TALCID 0,5 GR 40 CIG.TABLETI",2,80,"SKT-2027-08:1 kutu, SKT-2028-01:1 kutu",2. dolap 2. raf,2d2r
15,ISORDIL 5 MG SUBLINGUAL 50 TABLET,1,50,SKT-2025-06:1 kutu,2. dolap 2. raf,2d2r
16,BELOC ZOK 25 MG 20 KONT.SAL.FILM TABLETI,1,20,SKT-2025-12:1 kutu,2. dolap 2. raf,2d2r
17,KAPRIL 25 MG 48 TABLET,2,96,"SKT-2027-04:1 kutu, SKT-2025-05:1 kutu",2. dolap 2. raf,2d2r
18,ECOPIRIN 300 MG 30 ENTERIK KAPLI TABLET,1,30,SKT-2025-09:1 kutu,2. dolap 2. raf,2d2r
19,CORASPIN 300 MG 30 TABLET,1,30,SKT-2026-02:1 kutu,2. dolap 2. raf,2d2r
20,NEXIUM 40 MG ENTERIK KAPLI 28 PELLET TABLET,1,28,SKT-2026-06:1 kutu,2. dolap 2. raf,2d2r
1,JELGO 50 G JEL,1,1,SKT-2026-07:1 kutu,2. dolap 3. raf,2d3r
2,"FURADERM % 0,2 56 GR POMAD",1,1,SKT-2027-11:1 kutu,2. dolap 3. raf,2d3r
3,"JETOKAIN 20 MG/ML+0,0125 MG/ML ENJEKSIYONLUK COZELTI",4,80,"SKT-2024-12:2 kutu, SKT-2027-11:1 kutu, SKT-2028-10:1 kutu",2. dolap 3. raf,2d3r
4,Clorethyl Soğutucu Sprey,2,2,SKT-2024-10:2 kutu,2. dolap 3. raf,2d3r
5,"TOBSIN % 0,3 5 ML OFTALMIK SOLUSYON",2,2,SKT-2026-08:2 kutu,2. dolap 3. raf,2d3r
6,CITANEST %2 ENJEKSIYONLUK SOLUSYON ICEREN 20 ML 1 FLAKON,1,1,SKT-2025-12:1 kutu,2. dolap 3. raf,2d3r
7,NOVAQUA TEK DOZLUK GOZ DAMLASI 30 FLAKON,1,30,SKT-2025-10:1 kutu,2. dolap 3. raf,2d3r
8,SODYUM BIC.MOL.%8.4 10 ML 10 AMPUL,2,20,SKT-2027-10:2 kutu,2. dolap 3. raf,2d3r
9,SILVERDIN % 1 40 GR KREM,1,1,SKT-2025-12:1 kutu,2. dolap 3. raf,2d3r
10,"TIYOKAS MONO 12,5 MG/1 G JEL (60 G)",1,1,SKT-2026-02:1 kutu,2. dolap 3. raf,2d3r
11,CALPOL 120 MG 150 ML SUSPANSIYON,1,1,SKT-2025-11:1 kutu,2. dolap 3. raf,2d3r
12,CALCIUM PICKEN %10 ENJEKSIYONLUK COZELTI (5 AMPUL),1,5,SKT-2026-01:1 kutu,2. dolap 3. raf,2d3r
13,IV Cannula Mavi Branül,34,34,SKT-2026-11:34 kutu,2. dolap 3. raf,2d3r
14,Airway Yeşil 3/80,1,1,SKT-2029-06:1 kutu,2. dolap 3. raf,2d3r
15,Airway Kırmızı 5/100,1,1,SKT-2028-11:1 kutu,2. dolap 3. raf,2d3r
16,Airway Sarı 4/90,1,1,SKT-2029-04:1 kutu,2. dolap 3. raf,2d3r
17,Airway Siyah 1/60,1,1,SKT-2029-03:1 kutu,2. dolap 3. raf,2d3r
18,Airway Beyaz 2/70,1,1,SKT-2029-04:1 kutu,2. dolap 3. raf,2d3r
19,Airway Mavi 0/50,1,1,SKT-2028-02:1 kutu,2. dolap 3. raf,2d3r
20,İnsülin İğnesi 1 ml BD Micro Fine Plus,3,3,SKT-2028-07:3 kutu,2. dolap 3. raf,2d3r
21,IV Cannula Yeşil Branül Kateter,10,10,SKT-2024-07:10 kutu,2. dolap 3. raf,2d3r
22,IV Cannula Sarı Branül Kateter,19,19,SKT-2026-11:19 kutu,2. dolap 3. raf,2d3r
23,IV Cannula Pembe Branül Kateter,11,11,SKT-2024-08:11 kutu,2. dolap 3. raf,2d3r
24,IV Cannula Mor Branül Kateter,4,4,SKT-2024-07:4 kutu,2. dolap 3. raf,2d3r
1,IV Cannula Mavi Branül Kateter,50,1,2028-10-01 00:00:00,2. dolap 4. raf,2d4r
2,IV Cannula Pembe Branül Kateter,15,1,2027-06-01 00:00:00,2. dolap 4. raf,2d4r
3,Silikon Foley Sonda 20 FR,1,1,SKT-2025-02:1 kutu,2. dolap 4. raf,2d4r
4,Silikon Foley Sonda 18 FR,1,1,SKT-3000-12:1 kutu,2. dolap 4. raf,2d4r
5,Silikon Foley Sonda 16 FR,2,2,"SKT-3000-12:1 kutu, SKT-2023-11:1 kutu",2. dolap 4. raf,2d4r
6,Laryngeal Mask adult 4,2,1,2017-12-01 00:00:00,2. dolap 4. raf,2d4r
7,Laryngeal Mask pediatric 2,2,1,2017-10-01 00:00:00,2. dolap 4. raf,2d4r
8,Airway Yeşil 3/80,5,5,SKT-3000-12:5 kutu,2. dolap 4. raf,2d4r
9,Airway Kırmızı 5/100,3,3,"SKT-2018-12:1 kutu, SKT-3000-12:2 kutu",2. dolap 4. raf,2d4r
10,Airway Sarı 4/90,2,2,SKT-3000-12:2 kutu,2. dolap 4. raf,2d4r
11,Airway Beyaz 2/70,3,3,SKT-3000-12:3 kutu,2. dolap 4. raf,2d4r
12,Airway Mavi 0/50,1,1,SKT-3000-12:1 kutu,2. dolap 4. raf,2d4r
13,Airway Siyah 1/60,1,1,SKT-3000-12:1 kutu,2. dolap 4. raf,2d4r
14,İdrar Torbası Musluklu 2000 ml.,2,2,SKT-2025-03:2 kutu,2. dolap 4. raf,2d4r
15,Ambu Seti Erişkin,1,1,yok,2. dolap 4. raf,2d4r
16,Ambu Seti Pediatrik,1,1,yok,2. dolap 4. raf,2d4r
1,KAPRIL 25 MG 48 TABLET,3,144,"SKT-2025-09:2 kutu, SKT-2025-05:1 kutu",2. dolap 5. raf kutu,2d5r
2,BUSCOPAN 20 MG/ML ENJEKSIYONLUK COZELTI (6 AMPUL),2,12,SKT-2025-10:2 kutu,2. dolap 5. raf kutu,2d5r
3,"ZADITEN % 0,025 STERIL GOZ DAMLASI 5 ML",1,1,SKT-2025-07:1 kutu,2. dolap 5. raf kutu,2d5r
4,A-FERIN SINUS 20 FILM TABLET,2,40,SKT-2025-09:2 kutu,2. dolap 5. raf kutu,2d5r
5,KATARIN 250 MG/100 MG/2 MG 30 KAPSUL,1,30,SKT-2025-11:1 kutu,2. dolap 5. raf kutu,2d5r
6,NEXIUM 40 MG ENTERIK KAPLI 28 PELLET TABLET,2,56,SKT-2026-06:2 kutu,2. dolap 5. raf kutu,2d5r
7,BRUFEN 400 MG 20 FILM TABLET,1,20,SKT-2026-09:1 kutu,2. dolap 5. raf kutu,2d5r
8,"NETIRA %0,3 GOZ DAMLASI, COZELTI (5 ML)",1,1,SKT-2026-09:1 kutu,2. dolap 5. raf kutu,2d5r
9,CALPOL 120 MG 150 ML SUSPANSIYON,1,1,SKT-2026-09:1 kutu,2. dolap 5. raf kutu,2d5r
10,PAROL 500 MG 30 TABLET,5,150,"SKT-2026-12:1 kutu, SKT-2028-10:4 kutu",2. dolap 5. raf kutu,2d5r
11,ETOL FORT 400 MG 14 FILM TABLET,1,14,SKT-2026-11:1 kutu,2. dolap 5. raf kutu,2d5r
12,DIKLORON 25 MG 30 FILM TABLET,4,120,SKT-2027-01:4 kutu,2. dolap 5. raf kutu,2d5r
13,"TALCID 0,5 GR 40 CIG.TABLETI",6,240,SKT-2027-08:6 kutu,2. dolap 5. raf kutu,2d5r
14,MAJEZIK 100 MG 15 FILM TABLET,4,60,"SKT-2027-09:3 kutu, SKT-2028-09:1 kutu",2. dolap 5. raf kutu,2d5r
15,Aspirasyon Sondası Siyah 10 ch,1,1,SKT-2018-10:1 kutu,2. dolap 5. raf kutu,2d5r
16,Aspirasyon Sondası Turuncu 16 ch,1,1,SKT-2020-08:1 kutu,2. dolap 5. raf kutu,2d5r
17,Aspirasyon Sondası Yeşil 08 ch,2,2,"SKT-2020-11:1 kutu, SKT-3000-12:1 kutu",2. dolap 5. raf kutu,2d5r
18,Aspirasyon Sondası Mavi  08 ch,2,2,2018-02-01 00:00:00,2. dolap 5. raf kutu,2d5r
19,Nazal Oksijen Kanülü Pediatric/Çocuk,4,4,"SKT-2015-12:2 kutu, SKT-3000-12:2 kutu",2. dolap 5. raf kutu,2d5r
20,Oksijen Maskesi Erişkin,4,4,SKT-3000-12:4 kutu,2. dolap 5. raf kutu,2d5r
21,Nazal Oksijen Kanülü Adult/Yetişkin,16,16,"SKT-2020-04:8 kutu, SKT-3000-12:8 kutu",2. dolap 5. raf kutu,2d5r
22,ambu maskesi yetişkin,4,1,yok,2. dolap 5. raf kutu,2d5r
23,ambu maskesi çocuk,2,1,yok,2. dolap 5. raf kutu,2d5r
1,NAZAL OKSİJEN KANÜLÜ YETİŞKİN,16,16,"SKT-2024-03:4 kutu, SKT-2026-07:2 kutu, SKT-2027-09:10 kutu",3. DOLAP 1. RAF,3d1r
2,NAZAL OKSİJEN KANÜLÜ ÇOCUK/PEDİATRİC,7,7,SKT-2027-03:7 kutu,3. DOLAP 1. RAF,3d1r
3,HAZNELİ OKSİJEN MASKESİ YETİŞKİN,17,17,"SKT-2026-11:15 kutu, SKT-2026-08:1 kutu, SKT-2025-09:1 kutu",3. DOLAP 1. RAF,3d1r
4,OKSİJEN MASKESİ YETİŞKİN,8,8,"SKT-2026-08:3 kutu, SKT-2025-09:5 kutu",3. DOLAP 1. RAF,3d1r
5,HAZNELİ OKSİJEN MASKESİ ÇOCUK,4,4,"SKT-2025-05:1 kutu, SKT-2026-11:3 kutu",3. DOLAP 1. RAF,3d1r
6,OKSİJEN MASKESİ ÇOCUK,2,2,SKT-2026-08:2 kutu,3. DOLAP 1. RAF,3d1r
7,OKSİJEN MASKESİ ÇOCUK,1,1,SKT-2026-11:1 kutu,3. DOLAP 1. RAF,3d1r
8,NAZAL OKSİJEN KANÜLÜ YETİŞKİN,14,14,"SKT-2024-03:3 kutu, SKT-2026-07:1 kutu, SKT-2027-09:10 kutu",3. DOLAP 1. RAF,3d1r
9,NAZAL OKSİJEN KANÜLÜ ÇOCUK/PEDİATRİC,5,5,SKT-2027-03:5 kutu,3. DOLAP 1. RAF,3d1r
1,METPAMID 10 MG 5 AMPUL,4,20,"SKT-2028-10:2 kutu, SKT-2028-11:2 kutu",DOLAP ÜSTÜ 1. KUTU,DÜ1
2,"AVIL 45,5 MG/2 ML IM/IV ENJEKSIYONLUK COZELTI",4,20,SKT-2025-08:4 kutu,DOLAP ÜSTÜ 1. KUTU,DÜ1
3,ECOPIRIN 300 MG 30 ENTERIK KAPLI TABLET,2,60,SKT-2025-11:2 kutu,DOLAP ÜSTÜ 1. KUTU,DÜ1
